throughput,threads,uratio,lsize
7309698.555057299,1,0,100
476228.8135593221,1,0,1000
28875.43597409068,1,0,10000
1.3832106435643565E7,4,0,100
1885567.3124689518,4,0,1000
112602.58320914059,4,0,10000
2.9384541769649033E7,6,0,100
2803848.635235732,6,0,1000
175960.8717186726,6,0,10000
1.9404410079051383E7,8,0,100
3572117.0370370373,8,0,1000
224871.1595639247,8,0,10000
2.7344682335477486E7,10,0,100
5208934.190994557,10,0,1000
285648.5686080948,10,0,10000
2.277064607019278E7,12,0,100
5233311.297483966,12,0,1000
345078.1791192479,12,0,10000
6599019.9203187255,1,10,100
319820.5383848455,1,10,1000
29049.85044865404,1,10,10000
9371722.139673105,4,10,100
1129338.3010432192,4,10,1000
109875.31048186787,4,10,10000
1.336222403560831E7,6,10,100
978131.4797360981,6,10,1000
160962.7976190476,6,10,10000
1.6056500741473058E7,8,10,100
1148994.5625308945,8,10,1000
205228.59970311727,8,10,10000
1.7000059200789344E7,10,10,100
1657661.3861386138,10,10,1000
247393.0864197531,10,10,10000
1.5664348126232741E7,12,10,100
3143806.7226890754,12,10,1000
287072.7002967359,12,10,10000
4738585.863613739,1,100,100
360432.9845540608,1,100,1000
27859.49177877429,1,100,10000
2629131.618010886,4,100,100
748880.2781917537,4,100,1000
96559.36413313463,4,100,10000
3019437.963420662,6,100,100
944992.0752847944,6,100,1000
134582.1339950372,6,100,10000
3487805.830039526,8,100,100
1153593.9334637965,8,100,1000
160883.66336633664,8,100,10000
5597583.703703704,10,100,100
1708711.8141374195,10,100,1000
200754.57694210787,10,100,10000
4883986.193293885,12,100,100
2035957.142857143,12,100,1000
226576.1622156281,12,100,10000
